epoch,train_loss,train_ppl,train_token_acc,valid_loss,valid_ppl,valid_token_acc
1,4.637283563613892,103.26345763249589,0.12429378531073447,4.59763240814209,99.24905599553733,0.2857142857142857
2,4.364747842152913,78.62957037860797,0.24293785310734464,4.372757434844971,79.26189014231045,0.2571428571428571
3,3.8733137448628745,48.10151843279738,0.2598870056497175,4.407440185546875,82.05913825412924,0.2571428571428571
4,3.5975728829701743,36.50951395665426,0.2994350282485876,4.233517169952393,68.95934788952933,0.2571428571428571
5,3.310152769088745,27.389309392145435,0.3050847457627119,4.285894393920898,72.66751104369986,0.2571428571428571
6,3.1407330433527627,23.120809203724107,0.3107344632768362,4.299300670623779,73.64827128650857,0.2571428571428571
7,2.8328890005747476,16.994487054907268,0.3389830508474576,4.349874973297119,77.46877665403093,0.2571428571428571
8,2.623003363609314,13.777038968945092,0.3672316384180791,4.308444976806641,74.32482220905092,0.2571428571428571
9,2.354706128438314,10.53503246030408,0.4915254237288136,4.553948879241943,95.00683907209462,0.2571428571428571
10,2.1105106671651206,8.252454466295921,0.5141242937853108,4.483353614807129,88.53107451143543,0.2571428571428571
11,1.7899723450342815,5.98928683057082,0.7062146892655368,4.610202312469482,100.50448088940979,0.2571428571428571
12,1.5369850397109985,4.6505478957954995,0.6892655367231638,4.681446075439453,107.9260289616297,0.2571428571428571
13,1.254638930161794,3.5065720283417363,0.847457627118644,4.739211559295654,114.34401265660544,0.2571428571428571
14,1.0044977466265361,2.730535507697828,0.8983050847457628,4.917336463928223,136.6381873304748,0.2571428571428571
15,0.8209589123725891,2.2726780921293077,0.9322033898305084,4.922223091125488,137.30752127366918,0.2571428571428571
