epoch,train_loss,train_ppl,train_token_acc,valid_loss,valid_ppl,valid_token_acc
1,4.641085942586263,103.65685187543342,0.1016949152542373,4.560434818267822,95.62505031034556,0.22857142857142856
2,4.269506216049194,71.48632810127533,0.3333333333333333,4.317315101623535,74.9870252289692,0.3142857142857143
3,3.7585745652516684,42.88724941194735,0.2937853107344633,4.187759876251221,65.87505727107101,0.22857142857142856
4,3.195870558420817,24.43143342713446,0.3163841807909605,4.023471355438232,55.894800159854896,0.2857142857142857
5,2.8840180238087973,17.88599534758028,0.3728813559322034,4.146157264709473,63.1907079799305,0.2571428571428571
6,2.5693467060724893,13.057291404763218,0.3898305084745763,4.131030559539795,62.242034015874864,0.2857142857142857
7,2.2603872219721475,9.586800667991835,0.4124293785310734,4.252487659454346,70.28002784040488,0.34285714285714286
8,1.9923316836357117,7.332611174493772,0.4971751412429379,4.366421222686768,78.76125772185398,0.34285714285714286
9,1.709449549516042,5.5259188955750655,0.6384180790960452,4.397606372833252,81.25613880129694,0.37142857142857144
10,1.45071542263031,4.266165535022764,0.7401129943502824,4.629353046417236,102.44776371838412,0.3142857142857143
11,1.228241741657257,3.415219416135348,0.8192090395480226,4.7862324714660645,119.84898254801148,0.3142857142857143
12,1.0261982182661693,2.790437010809732,0.8305084745762712,4.789652347564697,120.25955286853204,0.3142857142857143
13,0.8755830526351929,2.400274372357281,0.8418079096045198,5.058208465576172,157.30844023845876,0.3142857142857143
14,0.7582465906937917,2.134530232157699,0.847457627118644,4.9821953773498535,145.79410364286983,0.2857142857142857
15,0.6634673476219177,1.941512575975604,0.8531073446327684,5.234080791473389,187.5566234349795,0.2857142857142857
