run,model,emb_dim,hidden_dim,n_layers,dropout,lr,best_epoch,valid_loss,valid_ppl,valid_token_acc,test_loss,test_ppl,test_token_acc
1,seq2seq,32,64,1,0.0,0.003,7,4.11517858505249,61.2631539694562,0.2857142857142857,4.982852458953857,145.88993374699712,0.17857142857142858
2,seq2seq,64,96,1,0.0,0.003,4,4.023471355438232,55.894800159854896,0.2857142857142857,4.65869140625,105.49793784687839,0.25
3,attention,32,64,1,0.0,0.003,4,4.233517169952393,68.95934788952933,0.2571428571428571,4.861971378326416,129.27880850330408,0.21428571428571427
4,attention,64,96,1,0.0,0.003,5,4.086390018463135,59.5246205942288,0.3142857142857143,4.805190086364746,122.1427064776959,0.25
